NIU,CODIGO_CONEXION,TIPO_CONEXION,NIVEL_TENSION,NIVEL_TENSION_PRIMARIA,PORC_PROP_ACTIV,CONEXION_RED,ID_COMERCIALIZADOR,ID_MERCADO,GRUPO_CALIDAD,COD_FRONTERA_COMERCIAL,COD_CIRCUITO_LINEA,COD_TRANSFORMADOR,COD_DANE,UBICACION,DIRECCION,COND_ESPEC,TIPO_AREA_ESPEC,COD_AREA_ESPEC,ESTRATO,ALTITUD,LONGITUD,LATITUD,AUTOGENERADOR,EXP_ENERGIA,CAPAC_AUTOGEN,TIP_GENERACION,COD_FRONTERA_EXPORT,F_ENTRADA_GENERAR,CONTR_RESPALDO,CAPAC_CONTR_RES
2614189,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CL 18 26A 20 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614191,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CL 18 26A 17 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614193,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 17 50 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614195,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 17 53 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614197,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 17 49 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614199,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 17 47 P 2,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614201,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 17 1 45 P 1,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614203,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 17 27 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614205,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 17 40 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614207,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 17 30 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614209,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 17 24 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614211,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 17 18 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614213,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 17 12 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614215,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 17 25 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614217,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 17 11 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614219,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 17 5 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614221,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 17 10 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614223,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 17 2 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614225,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 16 24,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614227,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26A 17 44 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614229,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 16 8 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614231,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 16 2,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614233,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 17 38 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614237,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 17 3 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614239,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 15A 55 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614241,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 15 58 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614243,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 15 44 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614245,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 15A 28 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614247,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 27 15A 32,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614249,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 15A 18 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614251,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 27 15A 16,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614253,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 15A 12 P 1,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614257,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 15A 8 ,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614259,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 15A 8 APTO 1,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614261,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26A15A 06 AP 102,0,0,0,2,969,-76.195510,4.093028,3,,,,,,,
2614263,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CL 15A 25C 55 APTO2,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614265,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 15A 45 P1,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614267,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 15A 45 P 2,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614269,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 15A 32 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614271,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 17 96,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614273,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 15 74 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
