NIU,CODIGO_DE_CONEXION,TIPO_DE_CONEXION,NIVEL_DE_TENSION,NIVEL_DE_TENSION_PRIMARIO,PORC_PROPIEDAD_DEL_ACTIVO,CONEXION_RED,ID_COMERCIALIZADOR,ID_MERCADO,GRUPO_DE_CALIDAD,COD_FRONTERA_COMERCIAL,CODIGO_CIRCUITO_O_LINEA,CODIGO_TRANSFORMADOR,CODIGO_DANE_NIU,UBICACION,DIRECCION,CONDICION_ESPECIAL,TIPO_AREA_ESPECIAL,CODIGO_AREA_ESPECIAL,ESTRATO_ID,ALTITUD,LONGITUD,LATITUD,AUTOGENERADOR,EXPORTA_ENERGIA,POTENCIA,TIPO_GENERACION,CODIGO_FRONTERA_AUTO_GEN,INICIO_OPERACION,CONTRATO_RESPALDO,CAPACIDAD_CONTRATO_RESPALDO
21143953,100UMF0000,2,1,2,0,2,62371,444,12,Frt68383,,100UMF0000,8758000,2,CL 63 No CR 13 - 65 LOC 1010 EI1508,0,0,0,8,53,-74.802002,10.905496,3,,,,,,,
21146119,100XQ40000,2,1,2,0,1,62371,444,11,Frt33415,,100XQ40000,47001000,2,CR 9 CL 10 37 LOC QIEN,0,0,0,7,8,-74.2062275,11.246209,3,,,,,,,
21149506,100XU60000,2,1,2,0,2,62371,444,11,Frt68317,,100XU60000,47001000,2,CARRT TR ONCAL DEL CARIBE KM - 2 BDG A A33 EN3361,0,0,0,7,20,-74.1945347,11.2039957,3,,,,,,,
21161733,0038,1,2,2,101,1,62371,444,32,Frt71571,0038,,8078000,1,CARRET A CARACOLI KILOMETR O 500 - 1 DPL N4026,0,0,0,8,101,-74.9087264,10.7738576,3,,,,,,,
21194218,0793,1,2,2,101,2,62371,444,12,Frt80352,0793,,44001000,2,CL 70 No CR 14 - 212 DPL EK4474,4,3,9501,7,8,-72.8975636,11.5389011,3,,,,,,,
21208730,100YEQ0000,2,1,2,0,2,62371,444,12,Frt80286,,100YEQ0000,8001000,2,CR 58 No CL 96 - 187 LOC 5 CL4687,0,0,0,8,76,-74.8241672,11.0166045,3,,,,,,,
21208731,100YEQ0000,2,1,2,0,2,62371,444,12,Frt68462,,100YEQ0000,8001000,2,CR 58 No CL 96 - 187 LOC 6 CL4688,0,0,0,8,76,-74.8241672,11.0166045,3,,,,,,,
21208732,100YEQ0000,2,1,2,0,2,62371,444,12,Frt69613,,100YEQ0000,8001000,2,CR 58 CL 96 - 187 LOC 7 CL 4689,0,0,0,8,76,-74.8241672,11.0166045,3,,,,,,,
21209561,0147,1,2,2,101,2,62371,444,22,Frt80615,0147,,47288000,2,CL PRINCIPAL No KM 1 - 1 DPL DU635,4,0,0,7,64,-74.1745623,10.5078487,3,,,,,,,
21213762,1008Z50000,2,1,2,100,1,62371,444,22,Frt72553,,1008Z50000,8141000,2,CL 14 CR 12 - 33 Ap 1 M1683,0,3,9226,2,10,-74.8818933,10.4576482,3,,,,,,,
21224278,100T060000,2,1,2,0,2,62371,444,12,Frt75772,,100T060000,8758000,2,CL 30 No CR 13 - 65 LOC 1003 CZ7470,0,3,9715,8,14,-74.7706953,10.906445,3,,,,,,,
21224280,100T060000,2,1,2,0,2,62371,444,12,Frt75773,,100T060000,8758000,2,CL 30 No CR 13 - 65 LOC 1005 CZ7471,0,3,9715,8,14,-74.7706953,10.906445,3,,,,,,,
21224486,100T080000,2,1,2,0,2,62371,444,12,Frt57273,,100T080000,8758000,2,CL 30 No CR 13 - 65 LOC 2185 CZ7634,0,3,9715,8,14,-74.7708691,10.9064536,3,,,,,,,
21224544,100YNC0000,2,1,2,0,2,62371,444,12,Frt70784,,100YNC0000,8758000,2,CL 30 No CR 13 - 65 LOC 1243 CZ7539,0,3,9715,8,14,-74.770988,10.9064624,3,,,,,,,
21243037,0347,1,2,2,101,2,62371,444,12,Frt29414,0347,,8001000,2,CL 86 CR 50 - 66 LOC NREG CM1453,0,0,0,8,63,-74.8131534,11.0137506,3,,,,,,,
21245739,100YG80000,2,1,2,0,1,62371,444,12,Frt68431,,100YG80000,8001000,2,CR 38 CL 69C - 9 LOC 1 BA9124,0,0,0,8,87,-74.8063089,10.983951,3,,,,,,,
21246741,100XZN0000,2,1,2,0,2,62371,444,12,Frt68379,,100XZN0000,8001000,2,CL 93 CR 71 - 49 LOC 105A P1970,0,0,0,8,42,-74.8167755,11.0208712,3,,,,,,,
21246750,100XZN0000,2,1,2,0,2,62371,444,12,Frt82582,,100XZN0000,8001000,2,CL 93 CR 71 - 49 LOC 108 P1974,0,0,0,8,42,-74.8167755,11.0208712,3,,,,,,,
21247331,100Y0G0000,2,1,2,0,2,62371,444,11,Frt68335,,100Y0G0000,47001000,2,CL 23A CR 11 - 103 LOC 16 AE7162,0,0,0,7,13,-74.2052441,11.2380642,3,,,,,,,
21250635,100S6B0000,2,1,2,0,2,62371,444,12,Frt76785,,100S6B0000,8001000,2,CR 46 CL 48 - 218 LOC 284 CD8079,0,0,0,8,27,-74.7883092,10.9901314,3,,,,,,,
21250755,100B6D0000,2,1,2,0,2,62371,444,12,Frt57240,,100B6D0000,8001000,2,CL 84 CR 59 - 34 LOC 11 CK4784,0,0,0,8,62,-74.8115443,11.0108407,3,,,,,,,
21284606,100YNE0000,2,1,2,0,2,62371,444,12,Frt75342,,100YNE0000,8758000,2,CL 30 CR 13 - 65 LOC 1125 CZ7507,0,3,9715,8,15,-74.7709322,10.9060557,3,,,,,,,
21284612,100YNE0000,2,1,2,0,2,62371,444,12,Frt57360,,100YNE0000,8758000,2,CL 30 No CR 13 - 65 LOC 1141 CZ7511,0,3,9715,8,15,-74.7709322,10.9060557,3,,,,,,,
21286170,100T080000,2,1,2,0,2,62371,444,12,Frt60746,,100T080000,8758000,2,CL 30 No CR 13 - 65 ENTR T LOC 1319 CZ7444,0,3,9715,8,14,-74.7708691,10.9064536,3,,,,,,,
21286172,100T080000,2,1,2,0,2,62371,444,12,Frt56433,,100T080000,8758000,2,CL 30 No CR 13 - 65 ENTR T LOC 1385 CZ7459,0,3,9715,8,14,-74.7708691,10.9064536,3,,,,,,,
21286216,100T080000,2,1,2,0,2,62371,444,12,Frt70741,,100T080000,8758000,2,CL 30 No CR 13 - 65 ENTR T LOC 2060 CZ7463,0,3,9715,8,14,-74.7708691,10.9064536,3,,,,,,,
